HUZ	Year	Location	Test	Soil Type	Variety Name	Lodging	DTM	Yield	Height	SeedWt	Protein	Oil
2600	1996	Ottawa	Public	Loam	PS 36	2.4	125	4023	102	23.4	46.2	19
2600	1996	Ottawa	Public	Loam	PS42	2.3	124	4115	84	23.9	45.4	18.1
2600	1996	Ottawa	Public	Loam	PS 50	3.2	128	3258	98	22.7	43.6	19.3
2600	1996	Ottawa	Public	Loam	Quest	2.7	122	3423	79	25.2	47	17.9
2600	1996	Ottawa	Public	Loam	Richelieu	3.8	128	3192	87	21	45.1	19
2600	1996	Ottawa	Public	Loam	Riel	3.1	110	3166	84	18.5	43.2	20.3
2600	1996	Ottawa	Public	Loam	S 00-55	2.5	114	3791	75	22.4	43	19.8
2600	1996	Ottawa	Public	Loam	S 00-66	2	120	4075	94	21.6	43.4	20.7
2600	1996	Ottawa	Public	Loam	S 02-30	2.2	127	3252	84	23.7	45.5	17.8
2600	1996	Ottawa	Public	Loam	S 03-C3	2.5	125	4265	96	23	45.4	19.9
2600	1996	Ottawa	Public	Loam	S 07-57	2.6	128	4218	87	21.2	45	19.3
2600	1996	Ottawa	Public	Loam	T9404	2.5	122	3744	89	24.8	46.8	18.9
2600	1996	Ottawa	Public	Loam	90B43	1.7	126	3896	90	20.2	43.2	19.8
2600	1996	Ottawa	Public	Loam	York	3.3	124	3761	101	20.9	45.1	19.9
2600	1996	Ottawa	Public	Loam	Zephyr	3.4	127	3772	100	22.5	44.1	19.6
2600	1996	Ottawa	Public	Loam	022	2.3	118	3512	89	20.4	44.3	19.3
2600	1996	Ottawa	Public	Loam	3020858	1.9	126	3855	87	20.6	44.9	20.1
2600	1996	Ottawa	Public	Loam	9063	2.2	127	3950	92	22.2	44.6	19.6
2600	1996	Ottawa	Public	Loam	9071	3.2	128	3701	94	19.1	43	19.9
2600	1996	Ottawa	Public	Loam	91B01	2.6	131	4181	102	20.9	43.2	20.4
2600	1996	Elora	Public	Loam	AC Brant	1	115	2956	65	17.3	40.1	22
2600	1996	Elora	Public	Loam	AC Bravor	1	122	3024	61	16.8	39.5	21.6
2600	1996	Elora	Public	Loam	AC Harmony	1	111	2540	57	13.1	37.8	23.1
2600	1996	Elora	Public	Loam	AC Hercule	1	116	1939	61	16.1	45.2	19.1
2600	1996	Elora	Public	Loam	AC Proteina	1	117	2461	62	14.4	46.2	18.1
2600	1996	Elora	Public	Loam	AC Proteus	1	111	2309	63	15.6	47.7	16.9
2600	1996	Elora	Public	Loam	AC 2001	1	124	3366	70	15.5	38.1	21.7
2600	1996	Elora	Public	Loam	PS 44	1	121	3180	63	17.5	39.7	21.3
2600	1996	Elora	Public	Loam	Albinos	1	112	2739	65	16.2	40.1	21.5
2600	1996	Elora	Public	Loam	Alta	1	105	2246	60	16.6	38.1	21.5
2600	1996	Elora	Public	Loam	Altesse	1	111	2643	61	13.4	40.4	21.8
2600	1996	Elora	Public	Loam	Aquilon	1	109	2531	59	16.5	40.4	21.4
2600	1996	Elora	Public	Loam	Autan	1	101	1972	59	13.2	41	20.4
2600	1996	Elora	Public	Loam	Beck	1	118	3186	66	17.7	37.7	21.8
2600	1996	Elora	Public	Loam	B0601	1	120	2690	57	17.1	38.9	21.2
2600	1996	Elora	Public	Loam	Cabot	1	113	2933	60	15	37.8	22.4
2600	1996	Elora	Public	Loam	Corona	1	108	2746	64	13.5	38.8	21.7
2600	1996	Elora	Public	Loam	CX066	1	122	2942	61	16.5	40.7	21.1
2600	1996	Elora	Public	Loam	DB1979	1	115	3128	59	18	41.8	20.9
2600	1996	Elora	Public	Loam	Enterprise	1	120	2996	57	16.2	39.2	21
2600	1996	Elora	Public	Loam	Fiston	1	109	2113	60	11.8	39.1	22
2600	1996	Elora	Public	Loam	Gentleman	1	104	2436	57	14.4	41.6	21
2600	1996	Elora	Public	Loam	Grand	1	113	3048	59	21.5	41.9	20.7
2600	1996	Elora	Public	Loam	HS 2578	1	106	2508	61	15.4	40.3	21.2
2600	1996	Elora	Public	Loam	HS 2688	1	112	2833	57	16.6	39	20.7
2600	1996	Elora	Public	Loam	HS 2689	1	108	2546	61	14.4	38.5	21.8
2600	1996	Elora	Public	Loam	HS 2778	1	124	2940	59	20.2	40.3	20.8
2600	1996	Elora	Public	Loam	KG41	1	117	2937	57	16.1	39.3	22.2
2600	1996	Elora	Public	Loam	Klaxon	1	106	2257	51	14.2	39.6	22
2600	1996	Elora	Public	Loam	Korada	1	117	3088	56	16.5	39.5	20.8
2600	1996	Elora	Public	Loam	Maitland	1	116	2852	63	16.8	39.3	21.3
2600	1996	Elora	Public	Loam	Maple Glen	1	116	2723	59	16.8	40.7	21.9
2600	1996	Elora	Public	Loam	Medallion	1	107	2512	58	15	39.2	21.9
2600	1996	Elora	Public	Loam	OAC Arthur	1	122	3068	61	17.7	40.4	20.1
2600	1996	Elora	Public	Loam	OAC Atwood	1	122	3318	64	15	39.3	21.1
2600	1996	Elora	Public	Loam	OAC Auburn	1	124	3343	66	17.5	38.5	21.5
2600	1996	Elora	Public	Loam	OAC Bayfield	1	121	3257	64	17	38.6	22
2600	1996	Elora	Public	Loam	OAC Brussels	1	121	3115	60	17.7	38	21.4
2600	1996	Elora	Public	Loam	OAC Eclipse	1	123	3238	64	17.3	37.5	22.9
2600	1996	Elora	Public	Loam	OAC Erin	1	118	3423	62	11.7	37.8	21.3
2600	1996	Elora	Public	Loam	OAC Klondike	1	104	2666	52	13.9	40.5	20.2
2600	1996	Elora	Public	Loam	OAC Lucknow	1	119	3038	63	17.5	39.6	21.1
2600	1996	Elora	Public	Loam	OAC Millennium	1	114	2825	57	13.8	38.6	22.1
2600	1996	Elora	Public	Loam	OAC Salem	1	105	2378	59	15.2	40.8	20.7
2600	1996	Elora	Public	Loam	OAC Walton	1	109	2804	63	15.3	38.2	21.8
2600	1996	Elora	Public	Loam	OAC Wingham	1	115	2881	56	14.1	38.8	21.8
2600	1996	Elora	Public	Loam	PS32	1	107	2408	61	13.5	38.5	21.7
2600	1996	Elora	Public	Loam	PS33	1	112	2057	51	13.1	36.2	23.5
2600	1996	Elora	Public	Loam	PS 36	1	112	2987	65	17.5	41.2	21
2600	1996	Elora	Public	Loam	PS42	1	117	2868	57	17.3	39.2	20.4
2600	1996	Elora	Public	Loam	PS 50	1	123	3109	66	18.3	39.5	21.1
2600	1996	Elora	Public	Loam	Quest	1	110	2952	60	18.8	42	19.9
2600	1996	Elora	Public	Loam	Richelieu	1	119	2790	61	16.3	39.3	21.1
2600	1996	Elora	Public	Loam	Riel	1	112	2438	61	14.5	38.4	21.9
2600	1996	Elora	Public	Loam	S 00-55	1	107	2239	52	14.1	39	20.3
2600	1996	Elora	Public	Loam	S 00-66	1	112	2698	62	17	39.2	21.7
2600	1996	Elora	Public	Loam	S 02-30	1	120	2928	60	19	40.3	19.5
2600	1996	Elora	Public	Loam	S 03-C3	1	118	2922	62	17.5	39.6	21.8
2600	1996	Elora	Public	Loam	S 07-57	1	124	3157	61	17.6	39.2	21.8
2600	1996	Elora	Public	Loam	T9404	1	110	2626	60	18	43.6	20.2
2600	1996	Elora	Public	Loam	90B43	1	119	2781	55	12.9	38.6	21.1
2600	1996	Elora	Public	Loam	York	1	117	3052	70	15.8	39.7	21.7
2600	1996	Elora	Public	Loam	Zephyr	1	124	3528	63	18.4	37.8	22.4
2600	1996	Elora	Public	Loam	022	1	116	2932	66	15.2	38.9	21
2600	1996	Elora	Public	Loam	3020858	1	125	2828	57	16	39.4	22.4
2600	1996	Elora	Public	Loam	9063	1	122	3413	64	16.4	39	21.5
2600	1996	Elora	Public	Loam	9071	1	124	2976	57	13.8	37.1	21.9
2600	1996	Elora	Public	Loam	91B01	1	129	3098	61	17	37.5	22.7
2600	1996	Winchester	Public	Loam	AC Brant	1.7	113	3590	90	17.4	42.6	21.3
2600	1996	Winchester	Public	Loam	AC Bravor	2	115	3364	93	18.2	42.4	21.5
2600	1996	Winchester	Public	Loam	AC Harmony	1	104	3255	78	15.5	39.1	23.4
2600	1996	Winchester	Public	Loam	AC Hercule	1	110	3054	91	17.4	49.1	18.1
2600	1996	Winchester	Public	Loam	AC Proteina	1	110	3275	88	15.6	49.6	17.5
2600	1996	Winchester	Public	Loam	AC Proteus	1	104	2609	83	17.5	51.6	15.7
2600	1996	Winchester	Public	Loam	AC 2001	1.7	115	3791	99	17.8	39.9	21.3
2600	1996	Winchester	Public	Loam	PS 44	2	113	3706	101	19.2	41.7	21.7
2600	1996	Winchester	Public	Loam	Albinos	1	105	3407	84	17.4	42.5	21.8
2600	1996	Winchester	Public	Loam	Alta	1.2	101	3362	82	20.6	40.2	21.7
2600	1996	Winchester	Public	Loam	Altesse	1.8	104	3743	94	17.2	42.7	21.6
2600	1996	Winchester	Public	Loam	Aquilon	2.5	103	3432	82	20.2	42.8	21
2600	1996	Winchester	Public	Loam	Autan	2	97	2682	78	17.6	42.5	21.1
2600	1996	Winchester	Public	Loam	Beck	1	115	3428	95	18.5	40.7	21.4
2600	1996	Winchester	Public	Loam	B0601	1	115	3256	83	16.7	42.3	20.3
2600	1996	Winchester	Public	Loam	Cabot	2	106	3461	84	17.8	38.8	22.4
2600	1996	Winchester	Public	Loam	Corona	3	105	3270	84	17	42.1	21.2
2600	1996	Winchester	Public	Loam	CX066	1.5	115	3664	88	17.1	43.9	20.4
2600	1996	Winchester	Public	Loam	DB1979	1	112	3223	80	20.8	44.6	20.2
2600	1996	Winchester	Public	Loam	Enterprise	1.3	115	3422	84	16.9	42.4	20.1
2600	1996	Winchester	Public	Loam	Fiston	1	103	3237	81	14.4	40.9	22
2600	1996	Winchester	Public	Loam	Gentleman	1	100	3376	70	19.9	45.4	20.8
2600	1996	Winchester	Public	Loam	Grand	1.2	113	3672	71	25.2	44.3	20.3
2600	1996	Winchester	Public	Loam	HS 2578	2	105	3507	79	20.5	43.2	21.4
2600	1996	Winchester	Public	Loam	HS 2688	1	106	3707	73	20.3	42	20.3
2600	1996	Winchester	Public	Loam	HS 2689	1.5	106	3619	83	17.5	39.6	22.4
2600	1996	Winchester	Public	Loam	HS 2778	1	114	3517	72	16.5	43.9	19.8
2600	1996	Winchester	Public	Loam	KG41	1	112	3458	89	18.3	41.5	22.3
2600	1996	Winchester	Public	Loam	Klaxon	1	99	2946	78	16.1	42.5	21.6
2600	1996	Winchester	Public	Loam	Korada	1	110	3258	78	17.7	43.7	19.9
2600	1996	Winchester	Public	Loam	Maitland	1.7	114	3623	89	21.2	41.4	21.1
2600	1996	Winchester	Public	Loam	Maple Glen	1	107	3035	78	18.4	43.7	21.3
2600	1996	Winchester	Public	Loam	Medallion	1.3	112	3630	78	19	41.9	21.7
2600	1996	Winchester	Public	Loam	OAC Arthur	2.5	115	3574	88	18.3	44	18.9
2600	1996	Winchester	Public	Loam	OAC Atwood	1.3	114	3743	87	17.9	42.2	20.8
2600	1996	Winchester	Public	Loam	OAC Auburn	1	115	3908	93	17.7	41.7	20.7
2600	1996	Winchester	Public	Loam	OAC Bayfield	1.5	113	3690	82	19.7	42	21.4
2600	1996	Winchester	Public	Loam	OAC Brussels	1	115	3492	76	19.2	42	20.7
2600	1996	Winchester	Public	Loam	OAC Eclipse	1	115	3490	92	18.5	40	22.9
2600	1996	Winchester	Public	Loam	OAC Erin	1.5	103	3933	82	14	40.4	21.1
2600	1996	Winchester	Public	Loam	OAC Klondike	1	100	3450	65	18.8	40.9	21
2600	1996	Winchester	Public	Loam	OAC Lucknow	1	113	3741	98	17.7	43.3	20
2600	1996	Winchester	Public	Loam	OAC Millennium	1	114	3827	81	16.3	39.8	22.3
2600	1996	Winchester	Public	Loam	OAC Salem	1.3	104	3425	78	19.4	43.6	20.8
2600	1996	Winchester	Public	Loam	OAC Walton	1.8	103	3746	84	18.9	41	21.5
2600	1996	Winchester	Public	Loam	OAC Wingham	1	110	3284	79	17.4	41.6	21.5
2600	1996	Winchester	Public	Loam	PS32	1	101	2803	78	15	39.3	23
2600	1996	Winchester	Public	Loam	PS33	1	105	3410	74	16.1	39	23.2
2600	1996	Winchester	Public	Loam	PS 36	2	109	3668	91	19.5	44.3	20
2600	1996	Winchester	Public	Loam	PS42	1	110	3811	82	19.6	43.6	19.3
2600	1996	Winchester	Public	Loam	PS 50	2	116	3389	102	18.6	41.4	20.9
2600	1996	Winchester	Public	Loam	Quest	1	107	3413	71	22.3	45.1	18.7
2600	1996	Winchester	Public	Loam	Richelieu	2	115	3289	91	15.8	41.9	20.5
2600	1996	Winchester	Public	Loam	Riel	1.3	101	2953	86	14.6	40.5	21.8
2600	1996	Winchester	Public	Loam	S 00-55	1	103	3325	70	17.5	40.3	21.1
2600	1996	Winchester	Public	Loam	S 00-66	1	107	3575	84	20.1	40.8	22
2600	1996	Winchester	Public	Loam	S 02-30	1	116	3577	81	20.5	43.5	18.8
2600	1996	Winchester	Public	Loam	S 03-C3	1	114	3461	89	18.4	42.9	21.9
2600	1996	Winchester	Public	Loam	S 07-57	1	114	3799	86	16.5	41.8	21.3
2600	1996	Winchester	Public	Loam	T9404	1	112	3011	80	21.3	45.7	19.8
2600	1996	Winchester	Public	Loam	90B43	1	110	2944	84	14.2	41.4	20.9
2600	1996	Winchester	Public	Loam	York	2.3	111	3523	96	19.9	42.4	21.5
2600	1996	Winchester	Public	Loam	Zephyr	2	116	3731	96	18.5	41.9	21.5
2600	1996	Winchester	Public	Loam	022	1.8	108	3483	89	16.7	41.8	20.6
2600	1996	Winchester	Public	Loam	3020858	1	115	3168	79	16.1	42.4	22.1
2600	1996	Winchester	Public	Loam	9063	1	116	3863	91	18.1	41.7	21
2600	1996	Winchester	Public	Loam	9071	1.5	115	3380	93	15	40	21.5
2600	1996	Winchester	Public	Loam	91B01	1.5	117	3131	92	15.3	42.7	21.2
2600	1996	Brussels	Public	Loam	AC Brant	1	120	2991	68	18.4	38	23.3
2600	1996	Brussels	Public	Loam	AC Bravor	1	125	3137	73	17.3	35.7	24.1
2600	1996	Brussels	Public	Loam	AC Harmony	1	115	2782	70	15.3	35	24.5
2600	1996	Brussels	Public	Loam	AC Hercule	1	116	2506	72	16.1	42.3	20.7
2600	1996	Brussels	Public	Loam	AC Proteina	1	120	2884	70	15.4	45.6	18.4
2600	1996	Brussels	Public	Loam	AC Proteus	1	114	2297	69	16.1	46.1	17.7
2600	1996	Brussels	Public	Loam	AC 2001	1.3	121	3096	86	17	35.1	23.7
2600	1996	Brussels	Public	Loam	PS 44	1.5	123	3302	74	18.3	37.4	23
2600	1996	Brussels	Public	Loam	Albinos	1.2	117	2885	75	17.9	39.6	22.4
2600	1996	Brussels	Public	Loam	Alta	1	109	2527	73	17.8	34.7	23.4
2600	1996	Brussels	Public	Loam	Altesse	1.3	111	2656	70	15.3	38.3	23
2600	1996	Brussels	Public	Loam	Aquilon	1	111	2867	74	18.3	37	23.2
2600	1996	Brussels	Public	Loam	Autan	1.5	102	2239	58	15.2	37.8	21.9
2600	1996	Brussels	Public	Loam	Beck	1	124	3249	78	18.7	36	23.1
2600	1996	Brussels	Public	Loam	B0601	1	122	3043	70	18.5	37.5	22.2
2600	1996	Brussels	Public	Loam	Cabot	1	120	2971	69	17.9	33	25.4
2600	1996	Brussels	Public	Loam	Corona	1.3	111	2596	69	14.9	35.7	23.6
2600	1996	Brussels	Public	Loam	CX066	1	126	3300	75	18.9	39	21.9
2600	1996	Brussels	Public	Loam	DB1979	1.2	118	3288	70	19.7	40.9	21.9
2600	1996	Brussels	Public	Loam	Enterprise	1	123	3176	66	17.9	36.8	22.2
2600	1996	Brussels	Public	Loam	Fiston	1	115	2737	67	13.8	35	24.8
2600	1996	Brussels	Public	Loam	Gentleman	1	107	2348	60	15.3	39.5	22.2
2600	1996	Brussels	Public	Loam	Grand	1	118	3270	64	25.3	39.8	21.8
2600	1996	Brussels	Public	Loam	HS 2578	1.8	114	2994	72	18.1	37.5	23.2
2600	1996	Brussels	Public	Loam	HS 2688	1.3	115	2962	58	18.4	36.5	22.6
2600	1996	Brussels	Public	Loam	HS 2689	1.3	119	3080	73	17.9	34.9	24.5
2600	1996	Brussels	Public	Loam	HS 2778	1	124	3097	58	17.8	37.7	22.2
2600	1996	Brussels	Public	Loam	KG41	1	122	3090	68	17.6	36.4	24.1
2600	1996	Brussels	Public	Loam	Klaxon	1	106	2222	59	14.9	34.7	24.5
2600	1996	Brussels	Public	Loam	Korada	1	115	3073	58	17.2	37.5	22
2600	1996	Brussels	Public	Loam	Maitland	1.3	121	3415	75	18.9	36.9	23.1
2600	1996	Brussels	Public	Loam	Maple Glen	1	117	3118	63	19.2	39.2	22.7
2600	1996	Brussels	Public	Loam	Medallion	1.5	116	2619	67	17.2	35.4	23.9
2600	1996	Brussels	Public	Loam	OAC Arthur	1	116	2946	62	17.4	36.7	22.1
2600	1996	Brussels	Public	Loam	OAC Atwood	1.2	119	3181	72	16.6	37.6	22.3
2600	1996	Brussels	Public	Loam	OAC Auburn	1	126	3400	65	18.6	36.3	23
2600	1996	Brussels	Public	Loam	OAC Bayfield	1.3	120	3477	68	18.6	36.6	23.4
2600	1996	Brussels	Public	Loam	OAC Brussels	1	122	3208	62	18.7	37.2	22.7
2600	1996	Brussels	Public	Loam	OAC Eclipse	1	126	3244	80	19.9	37.2	23.7
2600	1996	Brussels	Public	Loam	OAC Erin	1.3	115	3104	65	12.3	34.5	23.2
2600	1996	Brussels	Public	Loam	OAC Klondike	1.5	111	2765	56	17.6	37.2	22.7
2600	1996	Brussels	Public	Loam	OAC Lucknow	1.3	117	3157	73	16.8	37	22.5
2600	1996	Brussels	Public	Loam	OAC Millennium	1	119	3193	64	16.2	34.4	24.5
2600	1996	Brussels	Public	Loam	OAC Salem	1	106	2883	59	17.5	38.9	22
2600	1996	Brussels	Public	Loam	OAC Walton	1.5	114	2823	71	18.1	36.7	23.1
2600	1996	Brussels	Public	Loam	OAC Wingham	1	120	3319	63	16	36.4	23.6
2600	1996	Brussels	Public	Loam	PS32	1	114	2711	64	14.4	35.4	24.7
2600	1996	Brussels	Public	Loam	PS33	1	118	2824	58	15.9	33.5	25.8
2600	1996	Brussels	Public	Loam	PS 36	1.5	116	3053	75	18.2	38	22.4
2600	1996	Brussels	Public	Loam	PS42	1	115	2715	61	17.2	37.1	21.7
2600	1996	Brussels	Public	Loam	PS 50	1.5	124	3254	80	20.3	38.4	22.1
2600	1996	Brussels	Public	Loam	Quest	1	116	2821	68	20.7	41.9	20.3
2600	1996	Brussels	Public	Loam	Richelieu	1.5	123	2792	68	16.7	37	22.1
2600	1996	Brussels	Public	Loam	Riel	1.3	115	2502	59	14.8	35.9	23.3
2600	1996	Brussels	Public	Loam	S 00-55	1	115	2705	51	15.8	36.1	22.3
2600	1996	Brussels	Public	Loam	S 00-66	1	117	2983	71	18.3	36	23.7
2600	1996	Brussels	Public	Loam	S 02-30	1	119	3002	64	18.5	37.9	21.1
2600	1996	Brussels	Public	Loam	S 03-C3	1.3	117	3170	73	18.3	37.8	23.2
2600	1996	Brussels	Public	Loam	S 07-57	1	124	3342	69	17	36.7	23.1
2600	1996	Brussels	Public	Loam	T9404	1	115	3051	68	20.5	43	20.3
2600	1996	Brussels	Public	Loam	90B43	1	123	2906	65	14.6	34.7	23
2600	1996	Brussels	Public	Loam	York	1.3	118	2980	79	17.5	37.6	23.3
2600	1996	Brussels	Public	Loam	Zephyr	1.7	125	3628	72	19.2	37.2	22.9
2600	1996	Brussels	Public	Loam	022	1	117	2985	69	17	36.5	22.4
2600	1996	Brussels	Public	Loam	3020858	1	128	3101	60	16.7	37.2	23.7
2600	1996	Brussels	Public	Loam	9063	1	127	3005	72	16.4	35	23.7
2600	1996	Brussels	Public	Loam	9071	1	124	3133	72	15.5	31.9	24.4
2600	1996	Brussels	Public	Loam	91B01	1	130	3478	68	16.8	35.1	24
2800	1996	Winchester	Public	Loam	AP1347	1.7	123	3275	119	13.1	42.4	20.9
2800	1996	Winchester	Public	Loam	AP1394	1	118	3075	109	13.4	42.4	21.3
2800	1996	Winchester	Public	Loam	Arva	0.9	121	3037	100	14.3	41.8	21
2800	1996	Winchester	Public	Loam	A0756	1.9	117	2948	102	14.2	44.1	19.7
2800	1996	Winchester	Public	Loam	A0868	0.9	116	2949	87	12.6	41.6	21
2800	1996	Winchester	Public	Loam	A1139	1.2	119	2881	103	13.3	42.1	21.1
2800	1996	Winchester	Public	Loam	A1553	2.2	122	3138	90	12.3	41.5	21.4
2800	1996	Winchester	Public	Loam	Beck	1.1	111	3208	92	17	40.9	21.3
2800	1996	Winchester	Public	Loam	Blackjack 21	2	130	3366	116	15.7	40.8	20.6
2800	1996	Winchester	Public	Loam	Bounty	1.3	117	3284	96	14.7	43.7	20.8
2800	1996	Winchester	Public	Loam	CX145	1	117	3000	91	12.5	45.6	19.3
2800	1996	Winchester	Public	Loam	DKB15-15	1.6	120	3212	111	16.2	41.5	21.6
2800	1996	Winchester	Public	Loam	Hisoy 1452	1	119	3195	109	13.5	43	21.4
2800	1996	Winchester	Public	Loam	Hs 2868	2.1	120	3198	106	14.5	42.8	20.6
2800	1996	Winchester	Public	Loam	Hs 2888	1.7	119	2974	107	14.8	43.6	20.4
2800	1996	Winchester	Public	Loam	Hs 2988	1.2	123	3196	109	14.5	40.1	21.1
2800	1996	Winchester	Public	Loam	J-083	1.3	117	3123	103	12.9	42.5	20.6
2800	1996	Winchester	Public	Loam	KG60	2.2	117	2298	90	15.4	42.6	19.2
2800	1996	Winchester	Public	Loam	KG62	1.8	124	3296	101	14.1	41.4	20.7
2800	1996	Winchester	Public	Loam	Marathon	1.8	118	3009	101	15.2	43.1	19.8
2800	1996	Winchester	Public	Loam	MS0747	1.5	116	3211	101	15.6	41.2	21.3
2800	1996	Winchester	Public	Loam	M-080	1.3	121	3274	105	15	40.4	21.1
2800	1996	Winchester	Public	Loam	OAC Auburn	1.5	116	3161	100	15.5	41.3	20.9
2800	1996	Winchester	Public	Loam	OAC Bayfield	1.7	111	3306	82	17.6	41.7	21.5
2800	1996	Winchester	Public	Loam	OAC Dorado	1.5	116	2763	95	15.9	42.7	20.7
2800	1996	Winchester	Public	Loam	OAC Eclipse	0.9	116	2809	86	15.9	41	22.8
2800	1996	Winchester	Public	Loam	OAC Embro	1.5	113	3333	91	15.9	41.6	20.7
2800	1996	Winchester	Public	Loam	OAC Erin	1.3	102	3151	83	12.5	40.5	21.3
2800	1996	Winchester	Public	Loam	OAC Exeter	2	120	3057	99	16.5	44.1	20.1
2800	1996	Winchester	Public	Loam	OAC Libra	2.7	109	3148	99	14.3	41.2	21.6
2800	1996	Winchester	Public	Loam	OAC Shire	1.2	127	3093	97	15.3	41.8	21
2800	1996	Winchester	Public	Loam	PRO 280	1	123	3217	99	15.5	40.6	21.5
2800	1996	Winchester	Public	Loam	PRO 285	2	119	3100	122	15.4	41.6	21.3
2800	1996	Winchester	Public	Loam	PRO 292	1	127	3453	103	14.2	42.1	21.3
2800	1996	Winchester	Public	Loam	PRO 295	1.2	124	3498	113	14.1	41	20.4
2800	1996	Winchester	Public	Loam	PS 50	2.3	116	2641	101	17.1	41.3	20.9
2800	1996	Winchester	Public	Loam	PS63	1.3	118	2836	106	11.8	42.1	20.8
